half_day_key,prev_num_articles_ma1_10,prev_extremely_positive_count_ma1_5,prev_atr_lag9,prev_macd_signal_lag4,prev_rsi_ma5,prev_bb_lower_lag10,prev_quote_volume_ma8,prev_macd_hist_std8_ma,prev_williams_r_ma7,volume_prev_ma10,prev_quote_volume_ma7,prev_close_ma5,prev_avg_sentiment_std1_6_ma,prev_macd_hist_std7_ma,prev_extremely_positive_count_ma1_4,prev_extremely_negative_count_lag5,prev_taker_buy_base_volume_std7_ma,avg_sentiment_news_prev_std5_ma,2_periods_back_back_change_pct,2_periods_back_back_change_pct_lag1,2_periods_back_back_change_pct_lag4,prev_avg_sentiment_lag4,prev_min_sentiment_lag10,2_periods_back_back_change_pct_lag8,prev_std_sentiment_lag1,prev_min_sentiment_lag1,prev_std_sentiment_lag3,prev_rsi_std2_ma,prev_taker_buy_quote_volume_lag10,prev_median_sentiment_lag8,,Indicator
2024-04-05_H2,37,12.4,1991.985017,530.6371327,45.06695186,63035.24614,1621362648,256.5130166,-74.77710215,1089924023,1620624285,66685.478,0.540663827,245.0699443,11.75,10,4997.617619,0.640200633,-0.029828035,0.032892615,0.009610671,1.05097561,-4.54,-0.025417417,2.694210007,-4.76,2.888775759,5.269448603,306444028,0.485,,1
2024-04-06_H1,39.8,11,2021.145373,378.182605,46.57698955,63306.09049,1591439462,254.6382688,-69.029365,1177057368,1469950638,67038.386,0.521857668,236.279998,9.5,6,4858.962517,0.489021513,0.020768245,-0.029828035,-0.001662431,0.305272727,-0.52,0.002676966,2.740160777,-4.71,3.075590685,4.009907641,408707340.9,0.78,,0
2024-04-06_H2,39.1,8,2020.859275,236.1700787,48.04260903,63933.30522,1361616911,249.0050117,-64.2383523,1135760184,1226395114,67379.17,0.432413491,221.5651006,8.25,12,4508.961823,0.406178679,-0.002512506,0.020768245,0.005387952,-0.125,-4.7,-0.058480303,2.551338709,-4.74,2.694210007,1.823858686,593023260.4,0.13,,1
2024-04-07_H1,37,7.4,2205.028612,141.6572866,49.99999484,64781.83854,1169327119,240.0240387,-58.16249523,1053701103,1144743464,67893.6,0.430105597,204.9053874,5.25,9,4293.840255,0.422205203,0.018078881,-0.002512506,0.032892615,1.025471698,-4.62,-0.002199018,2.357001844,-4.35,2.740160777,1.644952051,809826684.4,0.325,,1
2024-04-07_H2,35.3,5,2168.942997,49.48303309,50.61321983,65019.26423,1079559531,230.055471,-51.02793853,926881269.2,1049618907,68064.846,0.567951381,189.1021402,4.5,7,4220.579244,0.458931979,0.006765409,0.018078881,-0.029828035,-0.024594595,-4.76,0.009610671,2.446754086,-4.36,2.551338709,1.989804832,1147373488,0.61,,0
2024-04-08_H1,33.1,5.6,2167.539212,-15.08560685,52.56783903,65425.46671,1027534216,218.4924557,-44.56060424,825427201.3,1061893099,68640.338,0.642116451,178.7733834,5,8,4134.798011,0.541854322,-0.000327184,0.006765409,0.020768245,0.113095238,-4.81,-0.001662431,2.492342667,-4.79,2.357001844,0.530076164,1200890124,0.43,,1
2024-04-08_H2,31.5,5.8,2116.429982,-61.36481537,55.36378728,65599.54704,1161771576,211.5576874,-39.00894122,869204349.7,1040817884,69543.198,0.631759292,185.2532831,6.75,7,4040.555624,0.594250622,0.043506727,-0.000327184,-0.002512506,-0.080769231,-4.83,0.005387952,2.405003025,-4.48,2.446754086,3.133971988,684979827.9,0.295,,0
2024-04-09_H1,31.8,10.6,2065.575698,-74.02519708,57.60080236,65363.25383,1086957198,215.8438656,-30.8753194,902670541.9,1075334908,70331.064,0.653033369,206.2895873,12.25,3,3924.944642,0.657692754,-0.010300128,0.043506727,0.018078881,0.239444444,-4.79,0.032892615,2.788638377,-4.57,2.492342667,4.299195993,675383703.3,0.53,,0
2024-04-09_H2,33,12,2130.845291,-57.42656719,58.33831242,65279.63306,1095262904,225.6495323,-26.95177997,933789281.2,1053565360,70705.792,0.511133033,221.8617412,14,3,3865.693662,0.622697807,-0.011753979,-0.010300128,0.006765409,1.239166667,-4.79,-0.029828035,2.746958104,-4.72,2.405003025,2.356270756,374777506.9,0.22,,0
2024-04-10_H1,32,13,2148.404199,-23.17411103,57.55881511,65219.96275,1111150759,237.4641453,-25.54761567,896294282.1,1183703608,70655.684,0.538318266,224.5654734,13.75,1,3843.411355,0.676069841,-0.023421531,-0.011753979,-0.000327184,1.331071429,-4.76,0.020768245,2.537805429,-4.81,2.788638377,3.342686077,1040922445,0.32,,0
2024-04-10_H2,31.4,12.6,2181.668185,68.9596895,56.70426679,64938.19462,1139231974,239.4290853,-27.35003763,870619864.4,1192000663,70592.5,0.623157583,217.2775853,13.5,2,3806.917499,0.828616915,-0.001274131,-0.023421531,0.043506727,1.0904,-4.71,-0.002512506,2.82778723,-4.78,2.746958104,2.284312024,574302459.7,0.58,,1
